CLUSTER 0: THREE_AND_D_WING
================================================================================

Total players: 183

              playerName  points  reboundsOffensive  reboundsDefensive  assists  steals  blocks  turnovers  numMinutes  fieldGoalsPercentage  threePointersPercentage  cluster   PC1   PC2 position expected_position
         Ziaire Williams   10.23               0.54               1.86     1.07    1.36    0.38       1.05       22.66                  0.40                     0.33        0 -0.48 -0.92  Forward             Guard
            Tyler Burton   10.75               0.67               3.50     1.00    0.92    0.33       0.92       25.37                  0.35                     0.32        0 -0.48 -0.62  Forward             Guard
           Aaron Wiggins    9.50               0.62               2.45     1.62    0.92    0.42       1.23       21.47                  0.43                     0.33        0 -0.48 -0.52    Guard             Guard
           Kyle Anderson    6.19               0.98               2.51     2.93    1.05    0.60       0.91       19.66                  0.50                     0.09        0 -0.48  0.99    Guard             Guard
               Ben Saraf    7.37               0.42               1.65     3.28    0.84    0.19       2.21       20.51                  0.40                     0.17        0 -0.49 -0.89    Guard             Guard
      Zaccharie Risacher    9.55               1.05               2.71     1.11    0.88    0.55       0.83       22.23                  0.46                     0.32        0 -0.50  0.22  Forward             Guard
         Jaylin Williams    7.22               0.49               5.02     2.43    0.48    0.65       1.03       19.44                  0.38                     0.34        0 -0.51 -0.03  Forward             Guard
            Terance Mann    7.22               1.11               2.06     3.02    0.65    0.24       1.13       24.07                  0.44                     0.33        0 -0.52 -0.48    Guard             Guard
            Zach Collins    9.70               1.60               4.00     1.50    0.20    0.40       1.00       18.10                  0.54                     0.31        0 -0.54  1.19  Forward             Guard
       Justin Champagnie    8.59               2.10               3.46     1.19    0.82    0.63       0.63       19.60                  0.43                     0.24        0 -0.56  1.41    Guard             Guard
            John Konchar    4.44               1.31               2.93     2.11    1.45    0.65       0.62       19.55                  0.40                     0.22        0 -0.56  0.53    Guard             Guard
               Max Strus   11.27               0.82               4.64     2.00    0.27    0.00       0.73       24.35                  0.40                     0.37        0 -0.59 -0.60    Guard             Guard
           Luguentz Dort    8.38               0.82               2.76     1.24    0.88    0.40       0.79       26.70                  0.39                     0.33        0 -0.59 -0.42    Guard             Guard
            Micah Potter    9.63               1.22               3.61     1.46    0.43    0.33       0.93       18.78                  0.51                     0.39        0 -0.60  0.31   Center             Guard
        Matisse Thybulle    5.83               0.59               1.41     0.93    2.07    0.55       0.97       16.11                  0.42                     0.40        0 -0.61 -0.97    Guard             Guard
           Jordan Miller    9.90               0.85               2.17     2.20    0.76    0.19       1.03       21.77                  0.49                     0.21        0 -0.62  0.02    Guard             Guard
                AJ Green   10.26               0.36               2.34     1.96    0.49    0.10       0.94       28.81                  0.41                     0.40        0 -0.64 -1.37    Guard             Guard
             Isaac Okoro    9.27               1.10               1.65     1.59    0.73    0.46       0.73       26.69                  0.44                     0.32        0 -0.65 -0.12    Guard             Guard
          Taurean Prince    9.00               0.16               2.88     1.76    0.60    0.24       1.16       22.94                  0.43                     0.44        0 -0.68 -1.25  Forward             Guard
              Toby Okani   10.80               1.60               1.20     1.00    0.60    0.20       0.60       34.98                  0.35                     0.32        0 -0.69 -0.49  Forward             Guard
             Brook Lopez    8.47               0.59               2.99     1.31    0.59    1.18       0.81       21.60                  0.39                     0.33        0 -0.69  0.45   Center             Guard
              Obi Toppin   11.22               0.57               3.96     2.30    0.52    0.04       1.13       17.40                  0.46                     0.25        0 -0.69 -0.27  Forward             Guard
            Caris LeVert    7.41               0.39               1.59     2.69    0.86    0.69       1.36       19.17                  0.42                     0.28        0 -0.70 -0.45    Guard             Guard
           Cody Williams    8.70               0.91               2.05     1.98    0.74    0.39       1.09       23.93                  0.44                     0.16        0 -0.71  0.26  Forward             Guard
         Harrison Barnes    9.93               0.83               1.97     1.93    0.64    0.16       0.80       25.59                  0.45                     0.36        0 -0.71 -0.75  Forward             Guard
      Walter Clayton Jr.    7.80               0.36               1.65     4.04    0.64    0.28       1.68       20.26                  0.36                     0.27        0 -0.73 -1.32    Guard             Guard
              Will Riley   10.38               0.77               2.07     1.95    0.74    0.14       1.26       21.69                  0.43                     0.23        0 -0.75 -0.43  Forward             Guard
         Daeqwon Plowden   10.84               1.06               2.03     1.26    0.74    0.16       0.74       26.31                  0.41                     0.30        0 -0.77 -0.44    Guard             Guard
Kentavious Caldwell-Pope    8.39               0.39               2.06     2.73    0.84    0.16       1.20       21.13                  0.42                     0.30        0 -0.78 -1.03    Guard             Guard
           Jamir Watkins    7.02               1.00               2.88     1.31    1.10    0.49       0.80       20.16                  0.42                     0.24        0 -0.78  0.28  Forward             Guard
        Tim Hardaway Jr.   13.49               0.21               2.36     1.35    0.52    0.12       0.54       26.39                  0.43                     0.39        0 -0.83 -1.19    Guard             Guard
            Luke Kennard    8.43               0.42               1.95     2.25    0.71    0.10       0.77       21.47                  0.51                     0.40        0 -0.87 -0.92    Guard             Guard
 Olivier-Maxence Prosper   10.00               1.11               2.42     0.96    0.75    0.25       0.89       18.36                  0.50                     0.34        0 -0.88  0.06  Forward             Guard
           Jose Alvarado    7.26               0.35               2.09     3.34    0.94    0.10       1.12       19.46                  0.38                     0.29        0 -0.93 -1.31    Guard             Guard
        Taylor Hendricks    7.42               1.10               2.64     0.93    0.85    0.51       0.85       18.76                  0.45                     0.32        0 -0.94  0.31  Forward             Guard
               Ryan Dunn    5.61               1.42               2.72     1.41    0.87    0.41       0.80       19.07                  0.45                     0.32        0 -0.94  0.36  Forward             Guard
               Dru Smith    5.64               0.89               1.59     2.57    1.43    0.30       0.79       16.11                  0.45                     0.25        0 -0.95 -0.29    Guard             Guard
          Svi Mykhailiuk    9.38               0.72               1.76     1.86    0.52    0.06       0.84       22.93                  0.49                     0.41        0 -0.96 -0.86    Guard             Guard
